"LogMode","MaximumSizeInBytes","RecordCount","LogName","TimeCreated","LevelDisplayName"
"Circular","1052672","540","Microsoft-Windows-Resource-Exhaustion-Resolver/Operational","10.12.2024 15:16:07","Сведения"
"Circular","1052672","714","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","12.12.2024 8:55:43","Сведения"
"Circular","1052672","714","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","12.12.2024 6:53:14","Сведения"
"Circular","1052672","714","Microsoft-Windows-Resource-Exhaustion-Detector/Operational","02.12.2024 8:25:16","Сведения"
"Circular","1052672","6","Microsoft-Windows-RemoteAssistance/Operational","15.11.2024 12:19:56","Подробно"
"Circular","1052672","6","Microsoft-Windows-RemoteAssistance/Operational","15.11.2024 12:19:40","Подробно"
"Circular","1052672","6","Microsoft-Windows-RemoteAssistance/Operational","15.11.2024 12:19:08","Подробно"
"Circular","1052672","709","Microsoft-Windows-ReadyBoost/Operational","12.12.2024 8:56:29","Сведения"
"Circular","1052672","709","Microsoft-Windows-ReadyBoost/Operational","12.12.2024 8:56:26","Сведения"
"Circular","1052672","709","Microsoft-Windows-ReadyBoost/Operational","12.12.2024 8:56:16","Сведения"
"Circular","1052672","1798","Microsoft-Windows-PushNotification-Platform/Operational","12.12.2024 12:09:25","Сведения"
"Circular","1052672","1798","Microsoft-Windows-PushNotification-Platform/Operational","12.12.2024 12:09:19","Сведения"
"Circular","1052672","1798","Microsoft-Windows-PushNotification-Platform/Operational","12.12.2024 12:09:14","Сведения"
"Circular","1052672","10","Microsoft-Windows-PushNotification-Platform/Admin","30.11.2024 16:52:59","Предупреждение"
"Circular","1052672","10","Microsoft-Windows-PushNotification-Platform/Admin","29.11.2024 16:36:27","Предупреждение"
"Circular","1052672","10","Microsoft-Windows-PushNotification-Platform/Admin","09.04.2024 8:05:23","Предупреждение"
"Circular","1052672","1665","Microsoft-Windows-Provisioning-Diagnostics-Provider/Admin","12.12.2024 9:41:58","Сведения"
"Circular","1052672","1665","Microsoft-Windows-Provisioning-Diagnostics-Provider/Admin","12.12.2024 9:41:58","Сведения"
"Circular","1052672","1665","Microsoft-Windows-Provisioning-Diagnostics-Provider/Admin","12.12.2024 9:41:58","Сведения"
"Retain","104857600","228","Microsoft-Windows-Privacy-Auditing/Operational","29.01.2024 11:01:40","Сведения"
"Retain","104857600","228","Microsoft-Windows-Privacy-Auditing/Operational","29.01.2024 11:01:21","Сведения"
"Retain","104857600","228","Microsoft-Windows-Privacy-Auditing/Operational","29.01.2024 11:01:13","Сведения"
"Circular","15728640","3419","Microsoft-Windows-PowerShell/Operational","12.12.2024 12:11:24","Предупреждение"
"Circular","15728640","3419","Microsoft-Windows-PowerShell/Operational","12.12.2024 12:09:36","Предупреждение"
"Circular","15728640","3419","Microsoft-Windows-PowerShell/Operational","12.12.2024 12:09:27","Сведения"
"Circular","16777216","964","Microsoft-Windows-Partition/Diagnostic","12.12.2024 8:55:27","Сведения"
"Circular","16777216","964","Microsoft-Windows-Partition/Diagnostic","12.12.2024 6:52:53","Сведения"
"Circular","16777216","964","Microsoft-Windows-Partition/Diagnostic","12.12.2024 6:52:47","Сведения"
"Circular","1052672","247","Microsoft-Windows-Ntfs/WHC","12.12.2024 8:55:27","Сведения"
"Circular","1052672","247","Microsoft-Windows-Ntfs/WHC","12.12.2024 6:52:47","Сведения"
